Tamano 10 , Tamano 20 , Tamano 30 , Tamano 40 , Tamano 50 , Tamano 60 , Tamano 70 , Tamano 80 , Tamano 90 , Tamano 100 , Tamano 110 , Tamano 120 , Tamano 130 , Tamano 140 , Tamano 150 , Tamano 160 , Tamano 170 , Tamano 180 , Tamano 190 , Tamano 200 , Tamano 210 , Tamano 220 , Tamano 230 , Tamano 240 , Tamano 250 , Tamano 260 , Tamano 270 , Tamano 280 , Tamano 290 , Tamano 300 , Tamano 310 , Tamano 320 , Tamano 330 , Tamano 340 , Tamano 350 , Tamano 360 , Tamano 370 , Tamano 380 , Tamano 390 , Tamano 400 , Tamano 410 , Tamano 420 , Tamano 430 , Tamano 440 , Tamano 450 , Tamano 460 , Tamano 470 , Tamano 480 , Tamano 490 , Tamano 500 , Tamano 510 , Tamano 520 , Tamano 530 , Tamano 540 , Tamano 550 , Tamano 560 , Tamano 570 , Tamano 580 , Tamano 590 , Tamano 600 , Tamano 610 , Tamano 620 , Tamano 630 , Tamano 640 , Tamano 650 , Tamano 660 , Tamano 670 , Tamano 680 , Tamano 690 , Tamano 700 , Tamano 710 , Tamano 720 , Tamano 730 , Tamano 740 , Tamano 750 , Tamano 760 , Tamano 770 , Tamano 780 , Tamano 790 , Tamano 800 , Tamano 810 , Tamano 820 , Tamano 830 , Tamano 840 , Tamano 850 , Tamano 860 , Tamano 870 , Tamano 880 , Tamano 890 , Tamano 900 , Tamano 910 , Tamano 920 , Tamano 930 , Tamano 940 , Tamano 950 , Tamano 960 , Tamano 970 , Tamano 980 , Tamano 990 , Tamano 1000
500 , 700 , 800 , 1100 , 2300 , 4200 , 3400 , 3600 , 5600 , 6800 , 8200 , 8800 , 9700 , 12400 , 13300 , 15700 , 17400 , 18600 , 19800 , 25700 , 24700 , 24900 , 28600 , 30200 , 32300 , 32200 , 35600 , 48100 , 45300 , 47100 , 47700 , 53400 , 51400 , 56500 , 83300 , 88600 , 84800 , 70700 , 77900 , 97600 , 114000 , 93300 , 84400 , 132300 , 101800 , 107300 , 93200 , 120100 , 115700 , 153400 , 155300 , 154000 , 138500 , 137700 , 143300 , 169700 , 170700 , 148800 , 289900 , 196600 , 207900 , 234600 , 269200 , 229100 , 295000 , 242900 , 258800 , 240800 , 251700 , 245000 , 264700 , 261600 , 265300 , 300000 , 269300 , 275700 , 302200 , 357100 , 280000 , 321000 , 300700 , 324400 , 366300 , 325500 , 325700 , 413000 , 339300 , 353400 , 396800 , 516400 , 388000 , 421200 , 434600 , 426100 , 496900 , 423700 , 433500 , 429100 , 643300 , 504200
200 , 400 , 500 , 700 , 1800 , 2700 , 2800 , 3200 , 5800 , 5700 , 7700 , 7700 , 10600 , 11800 , 11800 , 14500 , 15800 , 18400 , 18500 , 56500 , 41400 , 25000 , 43000 , 29700 , 31000 , 32300 , 35500 , 42600 , 46600 , 44200 , 47000 , 49900 , 76700 , 50900 , 75700 , 88100 , 84400 , 72400 , 93300 , 94300 , 92100 , 85500 , 98900 , 119300 , 98000 , 103700 , 98300 , 124600 , 161800 , 153700 , 128600 , 168000 , 149800 , 137400 , 157600 , 148700 , 154900 , 172800 , 283500 , 227300 , 330700 , 195800 , 277600 , 200700 , 331300 , 358200 , 224700 , 266600 , 317200 , 260600 , 249100 , 251700 , 239700 , 250600 , 250000 , 279400 , 291200 , 312500 , 294500 , 291300 , 309300 , 324600 , 327800 , 355900 , 352500 , 420900 , 355500 , 357800 , 379500 , 463900 , 387600 , 451400 , 425200 , 425400 , 475000 , 450600 , 419800 , 424600 , 647000 , 442100
100 , 400 , 500 , 700 , 1600 , 2400 , 2600 , 3000 , 4700 , 5400 , 7600 , 7300 , 10100 , 11500 , 24600 , 24700 , 14900 , 16700 , 16700 , 24700 , 38900 , 59300 , 28700 , 29500 , 31300 , 32300 , 36500 , 37900 , 45100 , 43800 , 52600 , 56700 , 61500 , 71800 , 76700 , 82000 , 101100 , 69600 , 72900 , 87300 , 107600 , 83400 , 168500 , 105200 , 100200 , 103400 , 107900 , 127400 , 128700 , 247200 , 133100 , 122600 , 141500 , 133000 , 161300 , 147900 , 141800 , 198000 , 251600 , 390500 , 226800 , 241800 , 197700 , 195800 , 236300 , 263600 , 246500 , 314100 , 270400 , 233300 , 237800 , 234600 , 253300 , 257000 , 277200 , 272700 , 291700 , 271700 , 294400 , 305400 , 319500 , 385500 , 352700 , 335600 , 339200 , 410600 , 360200 , 372100 , 370700 , 439300 , 402500 , 451600 , 505700 , 427000 , 438000 , 423900 , 422400 , 451100 , 593400 , 440600
100 , 400 , 600 , 800 , 1500 , 2300 , 2200 , 3000 , 4900 , 4900 , 7000 , 7200 , 9800 , 11300 , 23400 , 18100 , 14900 , 18400 , 16800 , 26300 , 23000 , 25800 , 27000 , 29500 , 32300 , 32100 , 35700 , 34800 , 61800 , 43500 , 46900 , 53200 , 60900 , 57600 , 70500 , 80900 , 74700 , 69800 , 74000 , 88700 , 91700 , 83300 , 110900 , 128500 , 109300 , 100500 , 94600 , 126400 , 151000 , 143300 , 127300 , 132100 , 157300 , 140200 , 166100 , 148900 , 146200 , 192000 , 249800 , 198200 , 301600 , 220100 , 239800 , 202000 , 236200 , 236800 , 288300 , 319100 , 319000 , 229000 , 243200 , 231900 , 239300 , 253000 , 262000 , 284000 , 287700 , 280900 , 312500 , 292900 , 315900 , 370400 , 322400 , 322000 , 337800 , 405800 , 353100 , 358500 , 377300 , 466700 , 385000 , 467100 , 489200 , 418400 , 424700 , 416200 , 432000 , 473100 , 598600 , 439600
100 , 300 , 600 , 700 , 1400 , 2300 , 2300 , 3000 , 5000 , 4900 , 7700 , 7300 , 10000 , 12100 , 32700 , 17100 , 15600 , 16500 , 17700 , 21600 , 24200 , 25300 , 27500 , 42800 , 30300 , 32400 , 35800 , 35000 , 51400 , 43400 , 47400 , 52300 , 61400 , 64400 , 57100 , 82400 , 78200 , 69500 , 100100 , 83400 , 89100 , 83300 , 96900 , 126200 , 100400 , 159400 , 95800 , 125800 , 130900 , 138900 , 127000 , 143100 , 158100 , 133000 , 170500 , 151100 , 147800 , 174600 , 301300 , 237400 , 182500 , 292800 , 298500 , 244700 , 286300 , 285900 , 295400 , 262000 , 325200 , 225600 , 242400 , 226900 , 258800 , 257500 , 253700 , 269300 , 295300 , 275300 , 280800 , 287800 , 301700 , 374900 , 333000 , 321500 , 354400 , 412100 , 366800 , 343600 , 388600 , 441800 , 425500 , 459100 , 479400 , 408700 , 444900 , 465600 , 448100 , 444500 , 600900 , 456800
100 , 400 , 500 , 700 , 1400 , 2300 , 2100 , 3000 , 4900 , 4800 , 6800 , 8200 , 10100 , 10900 , 14000 , 14100 , 15800 , 15000 , 42400 , 21000 , 24200 , 22800 , 27500 , 36500 , 31800 , 31200 , 37600 , 37900 , 45200 , 62100 , 50300 , 50000 , 61400 , 75200 , 59300 , 84000 , 70300 , 69600 , 84900 , 85400 , 83500 , 125700 , 101300 , 115800 , 97700 , 100100 , 96300 , 133200 , 122300 , 139600 , 204100 , 132600 , 158500 , 131600 , 160600 , 153300 , 141300 , 221300 , 232500 , 249400 , 197800 , 216800 , 242900 , 202800 , 268700 , 322700 , 259000 , 274900 , 288800 , 222500 , 264100 , 229600 , 274900 , 286300 , 246900 , 280700 , 300100 , 296200 , 276400 , 285400 , 310200 , 378200 , 363400 , 317100 , 337300 , 410100 , 365900 , 360000 , 372600 , 444800 , 419300 , 458300 , 487600 , 408500 , 426600 , 408800 , 424200 , 435700 , 541000 , 469900
100 , 300 , 500 , 700 , 1500 , 2200 , 2200 , 2900 , 4900 , 4900 , 7500 , 8200 , 8600 , 11000 , 14100 , 14700 , 14800 , 15300 , 20400 , 21800 , 24000 , 23000 , 30700 , 31900 , 31900 , 34000 , 52100 , 38700 , 45200 , 57300 , 48800 , 51300 , 61000 , 62100 , 54200 , 84000 , 71200 , 69500 , 85500 , 83300 , 85300 , 124700 , 101700 , 124800 , 108600 , 100700 , 119000 , 130200 , 118100 , 137700 , 155400 , 130500 , 157700 , 146200 , 161300 , 146100 , 149000 , 204700 , 300900 , 207500 , 199800 , 223700 , 289200 , 225200 , 254200 , 259600 , 245000 , 238300 , 294100 , 292200 , 236600 , 224700 , 289100 , 289200 , 277100 , 268700 , 292000 , 313900 , 280100 , 293700 , 325500 , 385100 , 331900 , 325100 , 325000 , 414400 , 383800 , 359800 , 396300 , 439900 , 432800 , 453600 , 474500 , 504700 , 407900 , 437100 , 449100 , 444300 , 561300 , 458900
100 , 300 , 500 , 700 , 1500 , 2200 , 2200 , 3000 , 5000 , 4800 , 7600 , 7300 , 8100 , 11400 , 14200 , 16300 , 14300 , 124100 , 17000 , 34000 , 40800 , 22800 , 25300 , 65100 , 30400 , 38500 , 35900 , 38000 , 117800 , 56100 , 81700 , 48400 , 58300 , 57400 , 54100 , 80700 , 73800 , 69500 , 86500 , 83300 , 84800 , 103900 , 101500 , 120300 , 105900 , 100200 , 113500 , 133300 , 120100 , 143900 , 117400 , 127100 , 160700 , 139400 , 160600 , 148900 , 146500 , 146800 , 178400 , 219900 , 233600 , 275300 , 202500 , 243200 , 213700 , 296800 , 204600 , 280200 , 230400 , 224600 , 244000 , 224700 , 264800 , 299900 , 271300 , 260000 , 290400 , 333100 , 442900 , 287700 , 409500 , 376700 , 319800 , 410500 , 377100 , 412600 , 363200 , 365700 , 438400 , 495300 , 417200 , 446900 , 485500 , 433000 , 404000 , 407800 , 504600 , 444100 , 574500 , 436600
100 , 400 , 500 , 700 , 1400 , 2100 , 2100 , 2900 , 4700 , 5500 , 7500 , 8300 , 8100 , 12100 , 13800 , 14500 , 26900 , 17900 , 17100 , 22100 , 27000 , 22700 , 24900 , 41900 , 35100 , 38800 , 35000 , 39800 , 51700 , 56200 , 45700 , 53600 , 50700 , 66100 , 54100 , 83400 , 72500 , 69400 , 84800 , 83300 , 87400 , 109900 , 101700 , 113600 , 99400 , 100300 , 111100 , 130000 , 117700 , 137800 , 145200 , 142700 , 160500 , 134800 , 160600 , 144000 , 142900 , 154700 , 220500 , 188300 , 223400 , 313000 , 205200 , 226100 , 318300 , 216600 , 249500 , 223100 , 229300 , 223700 , 228400 , 224500 , 244400 , 305300 , 250300 , 260200 , 280200 , 331900 , 282100 , 317100 , 308100 , 365000 , 332300 , 386600 , 429800 , 404700 , 348700 , 363100 , 391700 , 381300 , 488800 , 446800 , 471500 , 414000 , 442400 , 428700 , 513200 , 465700 , 543300 , 592700
100 , 300 , 500 , 700 , 1500 , 2000 , 2200 , 3000 , 4700 , 5400 , 7500 , 8500 , 8300 , 11900 , 13300 , 14100 , 16200 , 18300 , 16800 , 19800 , 26300 , 22700 , 25000 , 55000 , 30100 , 37800 , 40100 , 36800 , 48400 , 56100 , 43300 , 48100 , 50800 , 60200 , 54300 , 88100 , 75800 , 74800 , 86200 , 83200 , 80600 , 83800 , 102000 , 123900 , 100300 , 142500 , 110300 , 288600 , 121800 , 138500 , 166400 , 147500 , 158800 , 134000 , 160500 , 144100 , 144600 , 172700 , 221400 , 210500 , 254900 , 247900 , 303400 , 226400 , 221100 , 222100 , 257600 , 322400 , 221000 , 223200 , 228500 , 272400 , 243400 , 302400 , 249100 , 273900 , 278800 , 326300 , 288800 , 293300 , 332000 , 344800 , 338600 , 376400 , 443600 , 421200 , 341500 , 359700 , 362100 , 375500 , 493600 , 449500 , 480100 , 430700 , 422400 , 506300 , 514100 , 449100 , 551900 , 446700
100 , 300 , 500 , 700 , 1300 , 2000 , 2100 , 2900 , 4800 , 5400 , 7800 , 8400 , 9100 , 11900 , 13500 , 13000 , 16600 , 33900 , 16800 , 19900 , 53100 , 22800 , 27500 , 42600 , 30200 , 38800 , 40000 , 38900 , 48100 , 52600 , 43000 , 50500 , 50700 , 58700 , 54300 , 90400 , 71000 , 70900 , 87500 , 90300 , 90600 , 101000 , 101800 , 107200 , 141300 , 127400 , 109400 , 108000 , 117000 , 170800 , 163000 , 148800 , 158400 , 138800 , 170100 , 144200 , 140500 , 147800 , 234100 , 214800 , 239400 , 207000 , 237500 , 246100 , 195600 , 265700 , 383300 , 359500 , 261600 , 283300 , 230100 , 226700 , 252500 , 274400 , 295400 , 266700 , 278800 , 342800 , 298300 , 293000 , 391500 , 342400 , 334900 , 380000 , 390600 , 411400 , 348000 , 369800 , 502000 , 372500 , 485700 , 445400 , 475200 , 421300 , 417200 , 518100 , 523100 , 447300 , 563300 , 475500
100 , 400 , 500 , 700 , 1300 , 2100 , 2200 , 2900 , 4700 , 5400 , 7700 , 8100 , 10200 , 11800 , 13900 , 12400 , 15700 , 29600 , 16900 , 117800 , 29700 , 22800 , 27200 , 41100 , 32900 , 39000 , 38900 , 37900 , 46400 , 56500 , 42800 , 50500 , 50800 , 60500 , 54300 , 99400 , 74900 , 78900 , 85800 , 83300 , 88200 , 116600 , 102100 , 90500 , 125500 , 122400 , 110300 , 110000 , 124200 , 183600 , 145700 , 149700 , 157600 , 128800 , 159700 , 144200 , 149600 , 145600 , 235100 , 204000 , 198100 , 7.9914e+06 , 278000 , 198600 , 192600 , 338100 , 252200 , 262500 , 291600 , 241600 , 233700 , 230200 , 250800 , 300200 , 269100 , 266500 , 285000 , 332500 , 280800 , 291900 , 320000 , 339200 , 363600 , 390100 , 331700 , 406200 , 371200 , 365000 , 552400 , 388600 , 455500 , 448300 , 478800 , 552900 , 414400 , 527100 , 564100 , 430800 , 553800 , 452500
100 , 900 , 500 , 700 , 1300 , 2000 , 3000 , 3000 , 4500 , 5400 , 7600 , 7300 , 9200 , 12100 , 15500 , 12300 , 36800 , 18500 , 16600 , 20800 , 31800 , 22700 , 24900 , 39200 , 31500 , 38800 , 38500 , 37200 , 221300 , 60600 , 42800 , 48200 , 50700 , 61400 , 54400 , 99900 , 77300 , 97500 , 83800 , 82000 , 90400 , 108000 , 101700 , 88200 , 123800 , 125000 , 110900 , 125000 , 163000 , 153200 , 156900 , 147800 , 167700 , 141900 , 166600 , 167900 , 174700 , 145800 , 192300 , 256100 , 223500 , 245200 , 186600 , 240600 , 226800 , 334500 , 261400 , 376100 , 279100 , 239900 , 296100 , 230300 , 263200 , 287100 , 260200 , 271900 , 286500 , 328100 , 292100 , 299600 , 299700 , 358700 , 332500 , 451700 , 338600 , 408300 , 346400 , 351400 , 407900 , 391500 , 460400 , 460900 , 463100 , 508800 , 432000 , 435600 , 573300 , 430200 , 552300 , 497800
100 , 500 , 500 , 800 , 1700 , 2100 , 2500 , 2900 , 4000 , 21800 , 7500 , 7400 , 8900 , 12200 , 53400 , 12100 , 17000 , 21100 , 16600 , 23700 , 29100 , 22700 , 25900 , 40800 , 30400 , 39600 , 72900 , 39500 , 61900 , 62000 , 42800 , 48600 , 50700 , 61500 , 54300 , 65700 , 69800 , 85500 , 85200 , 83200 , 97000 , 86000 , 101200 , 91000 , 125500 , 138100 , 109300 , 106800 , 128400 , 156900 , 159400 , 149800 , 160300 , 130700 , 166700 , 173200 , 198300 , 151100 , 199400 , 178800 , 203800 , 177700 , 313300 , 202600 , 215000 , 236800 , 267600 , 312800 , 229000 , 226000 , 277600 , 235800 , 240800 , 290800 , 251800 , 284200 , 288200 , 326700 , 300100 , 336200 , 299600 , 309600 , 372000 , 325700 , 334900 , 425100 , 353300 , 343600 , 385700 , 389800 , 454300 , 449900 , 473200 , 543100 , 429100 , 446900 , 545000 , 450100 , 577600 , 442200
100 , 400 , 500 , 700 , 1600 , 2000 , 2600 , 3000 , 4100 , 5200 , 7900 , 7500 , 8800 , 12100 , 14700 , 12600 , 18000 , 21500 , 17700 , 22300 , 31200 , 22700 , 26000 , 41000 , 30500 , 37900 , 36500 , 37400 , 47300 , 56200 , 46300 , 48100 , 50700 , 62000 , 54200 , 71900 , 70500 , 70900 , 85300 , 87100 , 96800 , 86000 , 101800 , 91600 , 127500 , 116800 , 110300 , 172200 , 167000 , 155200 , 159500 , 148300 , 158400 , 138200 , 188500 , 194300 , 189200 , 150300 , 329500 , 198800 , 262900 , 313200 , 226600 , 214400 , 222800 , 248500 , 305000 , 298700 , 233800 , 231300 , 280100 , 232000 , 247400 , 306400 , 253600 , 278300 , 286000 , 325200 , 283900 , 351300 , 299500 , 312100 , 401000 , 339800 , 347000 , 409700 , 343400 , 339500 , 382300 , 444500 , 456600 , 443400 , 473300 , 508300 , 428300 , 446700 , 510500 , 502300 , 546600 , 455900
100 , 500 , 400 , 700 , 1600 , 2100 , 2700 , 2900 , 4100 , 4900 , 7300 , 7500 , 8800 , 12100 , 15600 , 12500 , 17400 , 36600 , 18200 , 23200 , 46200 , 22800 , 36600 , 40300 , 43500 , 39900 , 43300 , 40000 , 42600 , 56700 , 43900 , 48200 , 50700 , 59300 , 54300 , 64700 , 77300 , 72400 , 84300 , 115200 , 99700 , 85300 , 101700 , 107900 , 128000 , 106700 , 112000 , 182800 , 147500 , 164100 , 177100 , 150800 , 162000 , 145700 , 161700 , 145700 , 179200 , 167500 , 285200 , 178100 , 228300 , 192400 , 256500 , 210800 , 221200 , 272500 , 303400 , 417100 , 234900 , 228600 , 285900 , 237000 , 248300 , 291500 , 266200 , 281100 , 306600 , 331200 , 296400 , 350100 , 299500 , 316800 , 389300 , 336300 , 349400 , 413900 , 370600 , 339600 , 374700 , 460600 , 470500 , 447100 , 481800 , 467600 , 446000 , 435700 , 519900 , 469600 , 547800 , 445800
