Tamano 10 , Tamano 20 , Tamano 30 , Tamano 40 , Tamano 50 , Tamano 60 , Tamano 70 , Tamano 80 , Tamano 90 , Tamano 100 , Tamano 110 , Tamano 120 , Tamano 130 , Tamano 140 , Tamano 150 , Tamano 160 , Tamano 170 , Tamano 180 , Tamano 190 , Tamano 200 , Tamano 210 , Tamano 220 , Tamano 230 , Tamano 240 , Tamano 250 , Tamano 260 , Tamano 270 , Tamano 280 , Tamano 290 , Tamano 300 , Tamano 310 , Tamano 320 , Tamano 330 , Tamano 340 , Tamano 350 , Tamano 360 , Tamano 370 , Tamano 380 , Tamano 390 , Tamano 400 , Tamano 410 , Tamano 420 , Tamano 430 , Tamano 440 , Tamano 450 , Tamano 460 , Tamano 470 , Tamano 480 , Tamano 490 , Tamano 500 , Tamano 510 , Tamano 520 , Tamano 530 , Tamano 540 , Tamano 550 , Tamano 560 , Tamano 570 , Tamano 580 , Tamano 590 , Tamano 600 , Tamano 610 , Tamano 620 , Tamano 630 , Tamano 640 , Tamano 650 , Tamano 660 , Tamano 670 , Tamano 680 , Tamano 690 , Tamano 700 , Tamano 710 , Tamano 720 , Tamano 730 , Tamano 740 , Tamano 750 , Tamano 760 , Tamano 770 , Tamano 780 , Tamano 790 , Tamano 800 , Tamano 810 , Tamano 820 , Tamano 830 , Tamano 840 , Tamano 850 , Tamano 860 , Tamano 870 , Tamano 880 , Tamano 890 , Tamano 900 , Tamano 910 , Tamano 920 , Tamano 930 , Tamano 940 , Tamano 950 , Tamano 960 , Tamano 970 , Tamano 980 , Tamano 990 , Tamano 1000
600 , 1800 , 2900 , 4900 , 7600 , 12800 , 13700 , 37000 , 24900 , 26500 , 32300 , 40200 , 46500 , 53200 , 64400 , 122300 , 83200 , 87100 , 96200 , 104700 , 111700 , 126600 , 137800 , 153200 , 161800 , 194500 , 217900 , 260300 , 267900 , 240100 , 230500 , 269300 , 290400 , 277200 , 301000 , 331900 , 391200 , 422700 , 386800 , 397400 , 432000 , 539800 , 463200 , 592000 , 542600 , 538100 , 552300 , 657500 , 616300 , 630700 , 603300 , 685500 , 679800 , 674400 , 729100 , 866100 , 795100 , 781600 , 823100 , 1.1185e+06 , 900700 , 951600 , 1.0061e+06 , 1.2056e+06 , 1.002e+06 , 1.5249e+06 , 1.1602e+06 , 1.1297e+06 , 1.3341e+06 , 1.3776e+06 , 1.3212e+06 , 1.203e+06 , 1.2681e+06 , 1.3075e+06 , 1.3763e+06 , 1.4603e+06 , 1.54e+06 , 1.6184e+06 , 1.4894e+06 , 1.5376e+06 , 1.548e+06 , 1.6775e+06 , 1.6673e+06 , 1.6387e+06 , 1.6889e+06 , 1.8416e+06 , 2.097e+06 , 1.8816e+06 , 1.9338e+06 , 2.1314e+06 , 2.0356e+06 , 2.1151e+06 , 2.2316e+06 , 2.189e+06 , 2.1049e+06 , 2.2586e+06 , 2.2691e+06 , 2.1804e+06 , 2.4867e+06 , 2.5886e+06
400 , 1200 , 2000 , 3600 , 6500 , 11600 , 11100 , 21000 , 22000 , 34100 , 27600 , 35500 , 42200 , 48100 , 58600 , 64100 , 80300 , 80900 , 84100 , 96700 , 135900 , 116700 , 129200 , 158000 , 166600 , 170600 , 183000 , 261100 , 263500 , 215100 , 238000 , 270400 , 264600 , 267300 , 296100 , 314100 , 323200 , 418900 , 399800 , 386300 , 414800 , 488000 , 431900 , 536700 , 503700 , 548200 , 524200 , 659900 , 598500 , 625700 , 652600 , 681000 , 725700 , 715500 , 730700 , 727700 , 722600 , 850400 , 859300 , 961200 , 877800 , 1.0032e+06 , 986100 , 1.2643e+06 , 991200 , 1.4028e+06 , 1.1273e+06 , 1.1195e+06 , 1.125e+06 , 1.3743e+06 , 1.3426e+06 , 1.3239e+06 , 1.2804e+06 , 1.3025e+06 , 1.3939e+06 , 1.4503e+06 , 1.4733e+06 , 1.7187e+06 , 1.484e+06 , 1.7729e+06 , 1.5812e+06 , 1.7027e+06 , 1.6366e+06 , 1.6902e+06 , 1.8885e+06 , 1.8211e+06 , 2.1199e+06 , 2.1752e+06 , 2.0391e+06 , 2.0527e+06 , 2.005e+06 , 2.126e+06 , 2.1232e+06 , 2.1771e+06 , 2.0498e+06 , 2.1826e+06 , 2.3241e+06 , 2.2383e+06 , 2.3413e+06 , 2.4058e+06
300 , 900 , 1600 , 3200 , 6100 , 10600 , 10100 , 20700 , 19000 , 26900 , 26600 , 34800 , 36000 , 46400 , 56900 , 65200 , 72900 , 72100 , 82600 , 102100 , 121200 , 117800 , 132300 , 143400 , 148900 , 155200 , 174800 , 243900 , 265000 , 210000 , 227900 , 267000 , 265700 , 263000 , 290600 , 316400 , 398300 , 358800 , 368000 , 414500 , 413100 , 426700 , 436100 , 510200 , 507200 , 515200 , 520200 , 611100 , 615700 , 575300 , 596000 , 651800 , 667500 , 712100 , 719800 , 755300 , 738000 , 791000 , 906500 , 878100 , 960000 , 896000 , 1.0215e+06 , 1.0741e+06 , 958200 , 1.2915e+06 , 1.1035e+06 , 1.1387e+06 , 1.1532e+06 , 1.1391e+06 , 1.2607e+06 , 1.216e+06 , 1.2794e+06 , 1.3618e+06 , 1.5356e+06 , 1.3833e+06 , 1.4773e+06 , 1.782e+06 , 1.4862e+06 , 1.6826e+06 , 1.5977e+06 , 1.7095e+06 , 1.7718e+06 , 1.6428e+06 , 1.8198e+06 , 1.8935e+06 , 1.8811e+06 , 1.8498e+06 , 1.8965e+06 , 2.01e+06 , 2.0147e+06 , 2.1046e+06 , 2.1396e+06 , 2.23e+06 , 2.074e+06 , 2.2272e+06 , 2.2036e+06 , 2.2875e+06 , 2.3723e+06 , 2.5168e+06
200 , 1000 , 1600 , 3000 , 6500 , 10500 , 9900 , 18400 , 18700 , 25200 , 25900 , 33900 , 35400 , 45200 , 56400 , 59400 , 73000 , 79200 , 81400 , 104500 , 117300 , 116800 , 126500 , 140200 , 147500 , 165700 , 166500 , 230700 , 262700 , 210700 , 222100 , 287600 , 269500 , 253800 , 296700 , 312800 , 337200 , 360200 , 369000 , 511800 , 421400 , 428100 , 453200 , 524300 , 491100 , 513900 , 498500 , 565900 , 597300 , 638100 , 613300 , 632700 , 658000 , 711800 , 722900 , 930000 , 840700 , 764500 , 785100 , 852800 , 890900 , 1.0579e+06 , 967300 , 947400 , 980200 , 1.2076e+06 , 1.134e+06 , 1.1553e+06 , 1.1441e+06 , 1.1309e+06 , 1.2587e+06 , 1.2036e+06 , 1.2747e+06 , 1.2729e+06 , 1.5856e+06 , 1.4046e+06 , 1.4154e+06 , 1.6708e+06 , 1.5239e+06 , 1.5819e+06 , 1.5534e+06 , 1.8523e+06 , 1.7933e+06 , 1.619e+06 , 1.7733e+06 , 2.0331e+06 , 2.1453e+06 , 1.9842e+06 , 1.9882e+06 , 1.9028e+06 , 2.0691e+06 , 2.0654e+06 , 2.1282e+06 , 2.2686e+06 , 2.0604e+06 , 2.1274e+06 , 2.332e+06 , 2.2595e+06 , 2.4802e+06 , 2.361e+06
200 , 900 , 1500 , 3100 , 6300 , 10200 , 9800 , 16800 , 20700 , 24100 , 25600 , 32800 , 35000 , 45300 , 56100 , 63600 , 72400 , 80200 , 81300 , 100400 , 111500 , 124000 , 123700 , 146400 , 146300 , 167200 , 169900 , 238900 , 277200 , 205100 , 241000 , 294000 , 256800 , 276700 , 277200 , 327500 , 313600 , 352300 , 361100 , 418500 , 412300 , 424500 , 425500 , 523900 , 494600 , 532900 , 507200 , 599300 , 586900 , 593400 , 601400 , 644600 , 646100 , 720400 , 696600 , 758000 , 810700 , 771800 , 805200 , 879900 , 917900 , 1.0114e+06 , 947600 , 1.0661e+06 , 962900 , 1.1951e+06 , 1.1187e+06 , 1.1451e+06 , 1.2014e+06 , 1.2202e+06 , 1.3016e+06 , 1.1899e+06 , 1.2758e+06 , 1.2586e+06 , 1.4743e+06 , 1.3679e+06 , 1.715e+06 , 1.5707e+06 , 1.5581e+06 , 1.5578e+06 , 1.5707e+06 , 1.6615e+06 , 1.6139e+06 , 1.6707e+06 , 2.2393e+06 , 2.0259e+06 , 2.2036e+06 , 2.0235e+06 , 2.0574e+06 , 2.1113e+06 , 2.242e+06 , 2.6483e+06 , 2.0823e+06 , 2.1348e+06 , 2.0337e+06 , 2.1259e+06 , 2.3445e+06 , 2.3295e+06 , 2.3941e+06 , 2.4029e+06
200 , 800 , 1500 , 3000 , 5300 , 9500 , 10300 , 15800 , 18600 , 24700 , 25400 , 33400 , 34900 , 44800 , 55700 , 63800 , 70100 , 72500 , 81000 , 95300 , 105900 , 119900 , 123300 , 142200 , 151500 , 172900 , 187400 , 199900 , 224200 , 204300 , 218800 , 280400 , 250900 , 262200 , 300700 , 316700 , 313500 , 353100 , 404900 , 378800 , 445000 , 430600 , 467800 , 519400 , 484900 , 535900 , 480600 , 617300 , 596000 , 629300 , 612000 , 634100 , 707200 , 711800 , 691200 , 743400 , 836600 , 797800 , 810100 , 871900 , 1.2083e+06 , 961600 , 949700 , 1.006e+06 , 948600 , 1.079e+06 , 1.1925e+06 , 1.1922e+06 , 1.1183e+06 , 1.3922e+06 , 1.2224e+06 , 1.2255e+06 , 1.2556e+06 , 1.3185e+06 , 1.4104e+06 , 1.3788e+06 , 1.8261e+06 , 1.458e+06 , 1.515e+06 , 1.7979e+06 , 1.606e+06 , 2.0566e+06 , 1.5467e+06 , 1.7726e+06 , 1.9726e+06 , 1.7802e+06 , 2.2984e+06 , 1.9009e+06 , 1.9115e+06 , 1.9655e+06 , 2.0136e+06 , 2.6038e+06 , 2.23e+06 , 2.3123e+06 , 2.1494e+06 , 2.1342e+06 , 2.3845e+06 , 2.2598e+06 , 2.4138e+06 , 2.3095e+06
200 , 900 , 1500 , 3000 , 6400 , 10500 , 10700 , 16500 , 18300 , 23000 , 25300 , 36600 , 34700 , 44800 , 55500 , 69800 , 72500 , 75900 , 201700 , 106100 , 103800 , 114700 , 143500 , 158300 , 149200 , 160600 , 161800 , 199900 , 225200 , 213000 , 221300 , 250700 , 260700 , 342300 , 279500 , 333900 , 329600 , 347000 , 379200 , 371000 , 398500 , 434500 , 455000 , 484500 , 481400 , 530200 , 530600 , 542000 , 644000 , 608900 , 645500 , 655300 , 693400 , 707600 , 683200 , 740500 , 915900 , 779400 , 819600 , 971800 , 963300 , 959700 , 972800 , 1.0177e+06 , 1.0009e+06 , 1.2218e+06 , 1.256e+06 , 1.1803e+06 , 1.2384e+06 , 1.229e+06 , 1.2462e+06 , 1.1641e+06 , 1.2658e+06 , 1.3173e+06 , 1.5305e+06 , 1.3873e+06 , 1.7503e+06 , 1.7327e+06 , 1.4982e+06 , 1.7346e+06 , 1.6849e+06 , 1.6589e+06 , 1.7327e+06 , 1.7151e+06 , 1.9014e+06 , 2.0365e+06 , 2.2019e+06 , 2.0235e+06 , 2.1921e+06 , 2.0175e+06 , 2.0003e+06 , 2.3843e+06 , 2.3043e+06 , 2.1155e+06 , 2.083e+06 , 2.1645e+06 , 2.6525e+06 , 2.2681e+06 , 2.5269e+06 , 2.6251e+06
200 , 900 , 1500 , 3100 , 6200 , 9500 , 10600 , 16100 , 18200 , 36200 , 26700 , 34400 , 34400 , 44400 , 55200 , 61800 , 69700 , 72400 , 85300 , 93300 , 109000 , 114100 , 151300 , 141600 , 148600 , 188200 , 173900 , 191000 , 216600 , 217500 , 237200 , 245900 , 261200 , 342700 , 274400 , 307800 , 355200 , 362500 , 378700 , 378300 , 393600 , 416100 , 426100 , 508000 , 482600 , 547300 , 605800 , 567700 , 589200 , 580700 , 600700 , 670600 , 683300 , 691600 , 698500 , 732600 , 789900 , 815500 , 834700 , 866700 , 960500 , 916300 , 982600 , 1.1035e+06 , 980300 , 1.2319e+06 , 1.3913e+06 , 1.1419e+06 , 1.3059e+06 , 1.2034e+06 , 1.2279e+06 , 1.2439e+06 , 1.3709e+06 , 1.5027e+06 , 1.7049e+06 , 1.3931e+06 , 1.6892e+06 , 1.6079e+06 , 1.4746e+06 , 1.8497e+06 , 1.7687e+06 , 1.7866e+06 , 1.7575e+06 , 1.7771e+06 , 1.9228e+06 , 2.0228e+06 , 1.973e+06 , 1.8686e+06 , 1.9266e+06 , 2.0771e+06 , 2.4283e+06 , 2.1539e+06 , 2.1463e+06 , 2.2268e+06 , 2.1346e+06 , 2.3248e+06 , 2.3234e+06 , 2.3171e+06 , 2.6911e+06 , 2.5447e+06
200 , 900 , 1500 , 3000 , 6300 , 9500 , 10200 , 15600 , 20800 , 28700 , 25100 , 32600 , 34200 , 41600 , 55200 , 60300 , 77600 , 74100 , 82600 , 94700 , 101200 , 117500 , 141000 , 136000 , 145900 , 194600 , 170500 , 203400 , 200400 , 257500 , 228500 , 309200 , 255600 , 335700 , 362700 , 307200 , 345600 , 344700 , 353200 , 402400 , 394600 , 418800 , 431200 , 544800 , 472400 , 512400 , 557100 , 554100 , 583900 , 577100 , 607500 , 617200 , 750400 , 686000 , 697900 , 767100 , 732700 , 787500 , 964300 , 850000 , 896200 , 957300 , 960700 , 966300 , 952600 , 1.4802e+06 , 1.1274e+06 , 1.2961e+06 , 1.2723e+06 , 1.4307e+06 , 1.2475e+06 , 1.281e+06 , 1.3758e+06 , 1.4881e+06 , 1.3941e+06 , 1.6556e+06 , 1.8293e+06 , 1.4494e+06 , 1.4991e+06 , 1.7193e+06 , 1.8208e+06 , 1.82e+06 , 1.7295e+06 , 1.7929e+06 , 1.7821e+06 , 2.0339e+06 , 2.1333e+06 , 1.8517e+06 , 1.9874e+06 , 2.0673e+06 , 2.2694e+06 , 2.2406e+06 , 2.1182e+06 , 2.2626e+06 , 2.2328e+06 , 2.2232e+06 , 2.425e+06 , 2.3388e+06 , 2.6135e+06 , 2.6333e+06
200 , 900 , 1500 , 3000 , 6300 , 9200 , 39900 , 17000 , 20500 , 25200 , 25000 , 32200 , 34300 , 42900 , 55100 , 60100 , 71900 , 76200 , 81800 , 95800 , 100900 , 109300 , 127400 , 142600 , 145700 , 155100 , 184300 , 190300 , 205700 , 216300 , 220500 , 273400 , 273300 , 332500 , 306900 , 307400 , 352000 , 341000 , 382300 , 382000 , 445300 , 465500 , 428300 , 520600 , 628300 , 514700 , 523900 , 572200 , 599600 , 674500 , 628700 , 614200 , 819700 , 730100 , 777600 , 864500 , 728000 , 754600 , 878200 , 910600 , 911600 , 986700 , 947200 , 1.0191e+06 , 1.0171e+06 , 1.4287e+06 , 1.2473e+06 , 1.2317e+06 , 1.3281e+06 , 1.3883e+06 , 1.2629e+06 , 1.1999e+06 , 1.3409e+06 , 1.4304e+06 , 1.7016e+06 , 1.4388e+06 , 1.6737e+06 , 1.6382e+06 , 1.5171e+06 , 1.669e+06 , 1.7823e+06 , 1.8905e+06 , 1.9318e+06 , 1.6463e+06 , 1.7214e+06 , 2.1657e+06 , 2.0263e+06 , 2.0233e+06 , 1.9453e+06 , 1.8849e+06 , 2.1834e+06 , 2.1151e+06 , 2.1272e+06 , 2.2591e+06 , 2.199e+06 , 2.2588e+06 , 2.3606e+06 , 2.2977e+06 , 2.3869e+06 , 2.477e+06
