Tamano 10 , Tamano 20 , Tamano 30 , Tamano 40 , Tamano 50 , Tamano 60 , Tamano 70 , Tamano 80 , Tamano 90 , Tamano 100 , Tamano 110 , Tamano 120 , Tamano 130 , Tamano 140 , Tamano 150 , Tamano 160 , Tamano 170 , Tamano 180 , Tamano 190 , Tamano 200 , Tamano 210 , Tamano 220 , Tamano 230 , Tamano 240 , Tamano 250 , Tamano 260 , Tamano 270 , Tamano 280 , Tamano 290 , Tamano 300 , Tamano 310 , Tamano 320 , Tamano 330 , Tamano 340 , Tamano 350 , Tamano 360 , Tamano 370 , Tamano 380 , Tamano 390 , Tamano 400 , Tamano 410 , Tamano 420 , Tamano 430 , Tamano 440 , Tamano 450 , Tamano 460 , Tamano 470 , Tamano 480 , Tamano 490 , Tamano 500 , Tamano 510 , Tamano 520 , Tamano 530 , Tamano 540 , Tamano 550 , Tamano 560 , Tamano 570 , Tamano 580 , Tamano 590 , Tamano 600 , Tamano 610 , Tamano 620 , Tamano 630 , Tamano 640 , Tamano 650 , Tamano 660 , Tamano 670 , Tamano 680 , Tamano 690 , Tamano 700 , Tamano 710 , Tamano 720 , Tamano 730 , Tamano 740 , Tamano 750 , Tamano 760 , Tamano 770 , Tamano 780 , Tamano 790 , Tamano 800 , Tamano 810 , Tamano 820 , Tamano 830 , Tamano 840 , Tamano 850 , Tamano 860 , Tamano 870 , Tamano 880 , Tamano 890 , Tamano 900 , Tamano 910 , Tamano 920 , Tamano 930 , Tamano 940 , Tamano 950 , Tamano 960 , Tamano 970 , Tamano 980 , Tamano 990 , Tamano 1000
600 , 1500 , 1900 , 2600 , 4100 , 5100 , 6900 , 8700 , 9500 , 14400 , 13200 , 15200 , 18100 , 20500 , 22700 , 26100 , 28900 , 34300 , 37200 , 46100 , 48900 , 47500 , 51200 , 51800 , 55700 , 61500 , 66500 , 68300 , 90100 , 78400 , 91200 , 119800 , 99700 , 114100 , 105200 , 114200 , 124800 , 128700 , 133700 , 143600 , 186400 , 171400 , 172500 , 159000 , 213600 , 172500 , 179500 , 192600 , 215800 , 215500 , 254300 , 220500 , 240200 , 251800 , 309900 , 253400 , 276400 , 274400 , 281700 , 546300 , 299500 , 343200 , 380500 , 328600 , 489300 , 363900 , 408700 , 393700 , 384500 , 439400 , 400600 , 418900 , 413300 , 458600 , 492900 , 461700 , 487700 , 527100 , 511100 , 548000 , 525900 , 524600 , 567300 , 588500 , 598500 , 718300 , 589900 , 594100 , 636600 , 727700 , 684200 , 684400 , 699700 , 677500 , 750600 , 715500 , 749700 , 766600 , 784600 , 797000
200 , 800 , 1000 , 1800 , 2600 , 3600 , 5200 , 7400 , 8000 , 11900 , 11400 , 13700 , 16000 , 18500 , 20600 , 25300 , 27200 , 28800 , 32700 , 47100 , 61300 , 45000 , 46300 , 49600 , 53700 , 57600 , 62900 , 65900 , 89200 , 78800 , 103800 , 89600 , 94400 , 97200 , 106500 , 117100 , 113000 , 123700 , 126600 , 131300 , 143200 , 218900 , 158200 , 161900 , 170800 , 170200 , 176900 , 194200 , 207200 , 204700 , 216600 , 246900 , 230800 , 240700 , 252100 , 246000 , 264100 , 267700 , 285500 , 290400 , 353200 , 341600 , 345300 , 333200 , 425100 , 353800 , 363300 , 379400 , 416800 , 401700 , 389100 , 415100 , 410200 , 447100 , 477300 , 471900 , 479100 , 508600 , 497300 , 581100 , 605100 , 565800 , 538900 , 541700 , 668900 , 703900 , 590600 , 622400 , 634800 , 659300 , 652700 , 691200 , 713900 , 699900 , 734700 , 814200 , 755700 , 769000 , 805200 , 780100
100 , 400 , 700 , 1300 , 2500 , 3100 , 4900 , 6900 , 7400 , 11300 , 10800 , 13100 , 15200 , 17700 , 20100 , 24500 , 26200 , 28000 , 31900 , 48800 , 42800 , 41700 , 45400 , 48700 , 61300 , 56700 , 61800 , 67300 , 75400 , 74800 , 100100 , 88200 , 92100 , 95700 , 118400 , 106900 , 117900 , 120500 , 128100 , 133900 , 138600 , 182900 , 149600 , 167100 , 163700 , 201500 , 175900 , 187200 , 225200 , 208400 , 221200 , 216000 , 223000 , 234100 , 252100 , 244600 , 258600 , 264100 , 295000 , 298700 , 320500 , 399700 , 343000 , 321300 , 431700 , 386700 , 368400 , 387900 , 434600 , 405300 , 421400 , 417500 , 448300 , 460900 , 480000 , 470100 , 468400 , 476500 , 490000 , 528800 , 524300 , 544900 , 526600 , 540800 , 590700 , 601000 , 597600 , 613500 , 634100 , 675400 , 677800 , 747800 , 802000 , 705700 , 719700 , 761600 , 749000 , 803700 , 774900 , 795300
200 , 400 , 800 , 1300 , 2200 , 3000 , 4500 , 6400 , 7300 , 10700 , 10500 , 12700 , 14800 , 41800 , 19800 , 24100 , 25800 , 47500 , 76000 , 42900 , 38500 , 41300 , 55000 , 48600 , 68800 , 56100 , 61300 , 69400 , 70700 , 74300 , 120300 , 84900 , 91200 , 106000 , 106600 , 106100 , 117400 , 117500 , 125300 , 129100 , 156700 , 153500 , 147800 , 154500 , 164600 , 180300 , 194700 , 212600 , 209800 , 207000 , 218700 , 222800 , 222600 , 249700 , 241000 , 256400 , 262200 , 268400 , 279000 , 291600 , 302600 , 301300 , 346300 , 326800 , 388200 , 343000 , 376100 , 444200 , 384500 , 425100 , 398000 , 414900 , 427700 , 432500 , 493600 , 481100 , 481600 , 481000 , 513300 , 523700 , 794600 , 533000 , 566200 , 602600 , 558900 , 598300 , 586500 , 636900 , 636800 , 624200 , 714300 , 689800 , 683500 , 779200 , 712000 , 777800 , 775000 , 738900 , 868500 , 797700
100 , 400 , 700 , 1300 , 1900 , 2900 , 4500 , 6800 , 7100 , 10700 , 10300 , 12700 , 14500 , 23300 , 19600 , 24600 , 25600 , 30500 , 31500 , 41900 , 37900 , 41200 , 52100 , 48200 , 71000 , 61000 , 61000 , 74600 , 79500 , 73900 , 88100 , 84800 , 91000 , 122900 , 106500 , 112900 , 119600 , 118300 , 127300 , 133600 , 134800 , 142000 , 173100 , 156600 , 161400 , 170700 , 178000 , 184200 , 252900 , 224000 , 226200 , 222800 , 222400 , 234900 , 254600 , 261000 , 271300 , 270100 , 279900 , 296600 , 296900 , 354800 , 346100 , 359100 , 372100 , 346800 , 437300 , 475600 , 375800 , 411500 , 402900 , 418300 , 424300 , 426100 , 443700 , 470300 , 481300 , 499800 , 516600 , 499600 , 511600 , 534200 , 563100 , 553200 , 575500 , 629700 , 603500 , 614300 , 638800 , 667100 , 637600 , 656000 , 705200 , 709100 , 729300 , 772300 , 770500 , 763900 , 906300 , 796000
100 , 400 , 700 , 1300 , 2100 , 2900 , 4600 , 7100 , 7200 , 10600 , 10300 , 12500 , 14600 , 20000 , 20100 , 24400 , 25400 , 33200 , 31100 , 41900 , 39500 , 41200 , 47600 , 48100 , 87800 , 57900 , 60700 , 64400 , 71900 , 73900 , 82100 , 84600 , 91000 , 124800 , 99400 , 106100 , 126500 , 118400 , 138900 , 135300 , 134600 , 147800 , 147400 , 154100 , 164000 , 175000 , 181600 , 298500 , 199400 , 202500 , 209500 , 222300 , 221900 , 245300 , 275600 , 250800 , 265100 , 263000 , 275700 , 341500 , 306800 , 312700 , 404000 , 357600 , 362200 , 335200 , 376800 , 456600 , 403800 , 428000 , 417800 , 414800 , 426600 , 433300 , 459500 , 464900 , 586800 , 493800 , 503700 , 509100 , 510800 , 530800 , 536600 , 572000 , 606800 , 575500 , 575100 , 633100 , 606400 , 684200 , 658400 , 651800 , 742900 , 784900 , 862300 , 736200 , 750600 , 741400 , 784300 , 777700
100 , 400 , 800 , 1300 , 1900 , 2900 , 4500 , 7200 , 7100 , 10000 , 10200 , 12500 , 14400 , 18900 , 20900 , 23100 , 25300 , 31900 , 73300 , 46100 , 40800 , 41300 , 47800 , 47900 , 60300 , 56400 , 60700 , 64400 , 109900 , 89100 , 79000 , 84600 , 90500 , 96700 , 107300 , 111200 , 117900 , 116900 , 144000 , 134800 , 141300 , 141000 , 147400 , 160000 , 163300 , 176600 , 181900 , 202200 , 189300 , 206400 , 209100 , 226800 , 222000 , 241400 , 241300 , 270200 , 278500 , 274400 , 292100 , 362500 , 313800 , 340000 , 388300 , 323100 , 330000 , 336400 , 362000 , 437800 , 390100 , 380100 , 436500 , 410900 , 424100 , 460700 , 543900 , 441400 , 564000 , 489700 , 574100 , 519600 , 541500 , 538800 , 563300 , 603900 , 591000 , 631700 , 663900 , 625400 , 631600 , 649500 , 654600 , 748700 , 849000 , 671700 , 872200 , 730200 , 735800 , 769700 , 746800 , 763500
100 , 500 , 800 , 1300 , 1900 , 2800 , 4400 , 6400 , 7100 , 10200 , 10200 , 12500 , 14400 , 17300 , 20200 , 21700 , 25400 , 29900 , 48200 , 44800 , 39300 , 41100 , 46600 , 48000 , 53900 , 64300 , 62600 , 64300 , 81500 , 84300 , 86800 , 84500 , 90700 , 93600 , 103100 , 111500 , 114400 , 119700 , 145500 , 134200 , 169700 , 140800 , 147300 , 162800 , 163200 , 194900 , 177900 , 240900 , 188900 , 202300 , 214300 , 224000 , 249700 , 248100 , 236400 , 247600 , 262200 , 260700 , 291900 , 324300 , 308800 , 348700 , 390800 , 316200 , 345500 , 400400 , 453400 , 390600 , 382800 , 377800 , 406300 , 415400 , 424000 , 437500 , 540300 , 481400 , 579100 , 495500 , 486200 , 513400 , 522900 , 536200 , 556900 , 587100 , 586500 , 578800 , 610800 , 604600 , 620400 , 719300 , 657100 , 713100 , 781000 , 668100 , 770800 , 736500 , 939300 , 786800 , 810900 , 994600
100 , 400 , 700 , 1200 , 2000 , 2900 , 4400 , 6800 , 7100 , 10500 , 10300 , 12400 , 16600 , 17200 , 20400 , 21700 , 25400 , 27400 , 33400 , 43200 , 37400 , 42300 , 44500 , 48100 , 52000 , 67300 , 64000 , 65100 , 75100 , 86000 , 82100 , 84300 , 90400 , 95000 , 99000 , 111100 , 112800 , 122400 , 142400 , 132400 , 149400 , 140900 , 168100 , 161600 , 172400 , 174900 , 175500 , 206300 , 200200 , 205100 , 213100 , 228600 , 222600 , 249800 , 236600 , 261600 , 271200 , 260800 , 288600 , 323000 , 312600 , 396500 , 394800 , 316000 , 349200 , 357800 , 349700 , 369100 , 423100 , 408900 , 401700 , 418500 , 436300 , 436700 , 586200 , 486700 , 568300 , 484500 , 517300 , 530600 , 545200 , 533400 , 593700 , 578000 , 578200 , 596800 , 576700 , 600900 , 613700 , 692800 , 723800 , 695700 , 764100 , 711400 , 711700 , 735700 , 964300 , 765500 , 977300 , 1.0013e+06
200 , 500 , 700 , 1300 , 1900 , 2900 , 4300 , 7200 , 7100 , 10200 , 10200 , 12500 , 14600 , 19300 , 20100 , 21700 , 25300 , 27400 , 32300 , 42200 , 37400 , 45800 , 44400 , 48000 , 51900 , 65500 , 60700 , 70800 , 73200 , 77500 , 78500 , 84400 , 90800 , 97000 , 99000 , 110800 , 110700 , 116900 , 146400 , 132300 , 156600 , 141600 , 149500 , 163800 , 163700 , 190400 , 195900 , 203100 , 199600 , 196800 , 205500 , 230200 , 238000 , 233100 , 236200 , 260900 , 273400 , 260600 , 287700 , 395000 , 295600 , 354800 , 394100 , 364300 , 339600 , 339400 , 400300 , 359200 , 433000 , 516000 , 428200 , 397300 , 426400 , 446000 , 544200 , 448600 , 572900 , 505300 , 498700 , 532000 , 523600 , 532500 , 546500 , 616400 , 587600 , 671200 , 584800 , 621300 , 697600 , 659300 , 664900 , 695200 , 659200 , 796700 , 720700 , 724600 , 947500 , 827600 , 884900 , 1.0039e+06
