Tamano 10 , Tamano 20 , Tamano 30 , Tamano 40 , Tamano 50 , Tamano 60 , Tamano 70 , Tamano 80 , Tamano 90 , Tamano 100 , Tamano 110 , Tamano 120 , Tamano 130 , Tamano 140 , Tamano 150 , Tamano 160 , Tamano 170 , Tamano 180 , Tamano 190 , Tamano 200 , Tamano 210 , Tamano 220 , Tamano 230 , Tamano 240 , Tamano 250 , Tamano 260 , Tamano 270 , Tamano 280 , Tamano 290 , Tamano 300 , Tamano 310 , Tamano 320 , Tamano 330 , Tamano 340 , Tamano 350 , Tamano 360 , Tamano 370 , Tamano 380 , Tamano 390 , Tamano 400 , Tamano 410 , Tamano 420 , Tamano 430 , Tamano 440 , Tamano 450 , Tamano 460 , Tamano 470 , Tamano 480 , Tamano 490 , Tamano 500 , Tamano 510 , Tamano 520 , Tamano 530 , Tamano 540 , Tamano 550 , Tamano 560 , Tamano 570 , Tamano 580 , Tamano 590 , Tamano 600 , Tamano 610 , Tamano 620 , Tamano 630 , Tamano 640 , Tamano 650 , Tamano 660 , Tamano 670 , Tamano 680 , Tamano 690 , Tamano 700 , Tamano 710 , Tamano 720 , Tamano 730 , Tamano 740 , Tamano 750 , Tamano 760 , Tamano 770 , Tamano 780 , Tamano 790 , Tamano 800 , Tamano 810 , Tamano 820 , Tamano 830 , Tamano 840 , Tamano 850 , Tamano 860 , Tamano 870 , Tamano 880 , Tamano 890 , Tamano 900 , Tamano 910 , Tamano 920 , Tamano 930 , Tamano 940 , Tamano 950 , Tamano 960 , Tamano 970 , Tamano 980 , Tamano 990 , Tamano 1000
1400 , 2100 , 2900 , 3200 , 5100 , 4700 , 6100 , 6700 , 49900 , 8900 , 20300 , 10600 , 10900 , 11900 , 12700 , 13600 , 12800 , 13500 , 16100 , 15400 , 16200 , 21400 , 18000 , 20900 , 19200 , 22500 , 22800 , 22700 , 23300 , 23700 , 25600 , 25200 , 26200 , 30000 , 29500 , 33800 , 35800 , 31600 , 59500 , 33400 , 35000 , 38700 , 35900 , 37000 , 40800 , 38700 , 40500 , 42700 , 43500 , 47100 , 43500 , 44600 , 49800 , 46700 , 87200 , 48300 , 57000 , 65600 , 55700 , 54100 , 56200 , 57800 , 62400 , 60800 , 57000 , 67500 , 58800 , 68600 , 86000 , 66400 , 63600 , 63300 , 66400 , 77100 , 65800 , 72500 , 68700 , 130300 , 71800 , 71700 , 73900 , 77900 , 76700 , 101500 , 77600 , 78900 , 84600 , 86400 , 83100 , 98400 , 83600 , 115100 , 87800 , 86000 , 87600 , 87200 , 99600 , 97100 , 112900 , 102600
600 , 900 , 1900 , 2000 , 2700 , 3000 , 4000 , 4500 , 7100 , 6100 , 16800 , 6600 , 7500 , 8200 , 9600 , 9200 , 9900 , 9900 , 11600 , 11000 , 11800 , 15900 , 13300 , 14200 , 14700 , 16900 , 15700 , 17700 , 17600 , 18600 , 21900 , 23400 , 20100 , 21800 , 23200 , 26300 , 27500 , 28300 , 35500 , 26800 , 27500 , 31800 , 31500 , 33900 , 37300 , 33200 , 32200 , 35000 , 34900 , 38700 , 36800 , 36400 , 42400 , 41600 , 254900 , 42100 , 65200 , 45200 , 48100 , 49400 , 45600 , 54200 , 55200 , 53600 , 51900 , 63600 , 51500 , 63300 , 65800 , 70700 , 55000 , 56500 , 58200 , 71500 , 61600 , 64400 , 62900 , 71600 , 63800 , 65300 , 66600 , 70300 , 102700 , 77300 , 70300 , 82600 , 73900 , 81400 , 74300 , 91400 , 80200 , 84900 , 86000 , 79900 , 81000 , 80400 , 88200 , 91000 , 91700 , 102200
400 , 700 , 1300 , 1400 , 2200 , 2300 , 3300 , 3600 , 4600 , 5400 , 8300 , 5200 , 6500 , 6500 , 8300 , 8600 , 9300 , 8400 , 9900 , 9700 , 23100 , 13300 , 11500 , 12100 , 33600 , 15200 , 14000 , 15400 , 15800 , 16300 , 17100 , 23100 , 18000 , 19100 , 20500 , 23700 , 26600 , 22900 , 28600 , 24100 , 24300 , 26600 , 28500 , 31800 , 30100 , 30100 , 33200 , 30600 , 31100 , 35900 , 33600 , 36400 , 35100 , 38000 , 66700 , 38600 , 49900 , 43200 , 44700 , 43500 , 44000 , 48100 , 51800 , 45400 , 48800 , 52000 , 48500 , 61200 , 62400 , 53000 , 51700 , 53600 , 58700 , 68100 , 62400 , 56900 , 60100 , 63000 , 64300 , 64200 , 68900 , 68000 , 75200 , 68700 , 67500 , 70400 , 71600 , 78700 , 71100 , 86200 , 83300 , 89500 , 82100 , 77600 , 81000 , 78000 , 82500 , 89100 , 88200 , 104800
400 , 600 , 1200 , 1300 , 2300 , 2200 , 2800 , 3800 , 18900 , 13400 , 5700 , 5000 , 6400 , 5800 , 8000 , 8100 , 8700 , 8200 , 9700 , 9500 , 10300 , 13800 , 11200 , 11300 , 17000 , 14400 , 13400 , 14600 , 15200 , 18400 , 18800 , 19800 , 17300 , 18900 , 19700 , 19900 , 25200 , 22100 , 22700 , 22900 , 24100 , 25000 , 27000 , 30400 , 28900 , 28900 , 28900 , 29500 , 30300 , 34300 , 32300 , 33000 , 33500 , 40300 , 47800 , 56400 , 58000 , 45000 , 43300 , 41900 , 42800 , 46900 , 48900 , 44000 , 45000 , 47900 , 73300 , 59900 , 60900 , 54200 , 50700 , 52400 , 55600 , 66900 , 59900 , 55300 , 58500 , 59700 , 71200 , 61200 , 62500 , 64800 , 69200 , 66000 , 66000 , 75200 , 70100 , 79200 , 70100 , 83100 , 80000 , 89400 , 79700 , 76400 , 77000 , 76900 , 86600 , 89500 , 83700 , 96800
400 , 600 , 1200 , 1400 , 2100 , 2100 , 3000 , 3600 , 5200 , 5100 , 5100 , 4800 , 6200 , 5700 , 7600 , 8400 , 7600 , 8100 , 10200 , 9100 , 9700 , 13400 , 12800 , 11100 , 13200 , 13800 , 13000 , 14200 , 14700 , 16100 , 18600 , 17700 , 16900 , 21000 , 19000 , 19300 , 23700 , 21300 , 22000 , 22300 , 25300 , 28300 , 26300 , 25900 , 27900 , 27800 , 27800 , 28600 , 50900 , 34000 , 31400 , 31900 , 32700 , 35200 , 44900 , 51800 , 50600 , 42800 , 42800 , 43600 , 41000 , 43000 , 48800 , 42600 , 49900 , 46700 , 46700 , 59100 , 60300 , 57400 , 54400 , 51300 , 52600 , 65100 , 55800 , 54000 , 58000 , 58500 , 68000 , 60400 , 61800 , 63600 , 65500 , 64600 , 65500 , 73100 , 69100 , 69700 , 69300 , 88400 , 83700 , 95200 , 75200 , 81600 , 76200 , 76500 , 81000 , 87600 , 84000 , 101200
400 , 600 , 1000 , 1300 , 2000 , 2100 , 2800 , 3600 , 4200 , 4900 , 5300 , 4900 , 6400 , 5700 , 7600 , 31000 , 7900 , 8000 , 9500 , 9100 , 11400 , 12400 , 12500 , 11200 , 12400 , 13800 , 13000 , 13900 , 14600 , 15000 , 18100 , 18100 , 16800 , 19200 , 18700 , 20700 , 24000 , 23300 , 34800 , 54900 , 24800 , 25800 , 26000 , 25700 , 30300 , 31000 , 27200 , 28200 , 41200 , 33400 , 31200 , 31500 , 32400 , 34700 , 52900 , 74800 , 37500 , 44700 , 42700 , 40500 , 40500 , 42600 , 47700 , 42500 , 48000 , 46000 , 46100 , 57300 , 59100 , 52700 , 50000 , 51000 , 55300 , 65800 , 55300 , 53500 , 57300 , 57800 , 61500 , 60000 , 61300 , 62800 , 64500 , 64500 , 65000 , 68100 , 68500 , 68900 , 69000 , 80700 , 82500 , 85100 , 73800 , 82600 , 75900 , 76000 , 83300 , 87600 , 101400 , 98500
400 , 600 , 1100 , 1300 , 2100 , 2100 , 2800 , 3600 , 4200 , 4900 , 13400 , 4900 , 6300 , 5700 , 7900 , 10000 , 9000 , 8000 , 9900 , 9100 , 11600 , 12500 , 12800 , 11000 , 12200 , 16200 , 12900 , 14000 , 17500 , 16000 , 15800 , 16500 , 16800 , 17800 , 18600 , 19100 , 23700 , 24200 , 40400 , 29900 , 22400 , 25900 , 25800 , 25400 , 29500 , 27000 , 31300 , 28300 , 33500 , 33200 , 31000 , 31400 , 32000 , 34100 , 83700 , 64500 , 39400 , 43400 , 42300 , 41200 , 40200 , 44900 , 50000 , 43000 , 50000 , 45100 , 46100 , 56700 , 52500 , 49000 , 48800 , 50800 , 53600 , 64500 , 54600 , 53000 , 57300 , 57300 , 58400 , 59500 , 60600 , 62800 , 65000 , 63800 , 69700 , 67700 , 68600 , 68400 , 68500 , 84000 , 79200 , 84500 , 73700 , 83300 , 75600 , 75300 , 80600 , 88200 , 99200 , 96800
300 , 600 , 1100 , 1300 , 2000 , 2100 , 2800 , 3800 , 4000 , 4900 , 5200 , 4900 , 6100 , 5800 , 7000 , 9000 , 8200 , 7900 , 10000 , 9200 , 11000 , 13000 , 12700 , 11200 , 12000 , 15200 , 12800 , 13900 , 15600 , 17200 , 15900 , 16400 , 16700 , 17600 , 18700 , 18900 , 22500 , 21300 , 23800 , 27200 , 22400 , 23400 , 25800 , 25100 , 26900 , 28800 , 28900 , 30900 , 31000 , 33000 , 30800 , 31200 , 38500 , 34100 , 45200 , 51000 , 36200 , 42900 , 42000 , 43000 , 39900 , 42200 , 48400 , 44000 , 43500 , 44800 , 45700 , 58400 , 49800 , 48600 , 48700 , 50200 , 51400 , 63500 , 54000 , 53200 , 56800 , 56600 , 70200 , 59200 , 60200 , 62200 , 65300 , 63700 , 63900 , 67400 , 68200 , 69800 , 68000 , 83800 , 75600 , 89900 , 73600 , 84600 , 75200 , 101600 , 79500 , 86600 , 93100 , 96700
400 , 600 , 1200 , 1300 , 1900 , 2100 , 3000 , 3700 , 4500 , 4900 , 4900 , 4700 , 5900 , 5700 , 7600 , 9200 , 7400 , 7900 , 9000 , 9100 , 9400 , 12900 , 10700 , 11000 , 11900 , 14500 , 13000 , 13800 , 15600 , 18600 , 15700 , 16000 , 16700 , 17200 , 18500 , 18900 , 20000 , 21600 , 22000 , 26100 , 22100 , 25000 , 25500 , 25200 , 27400 , 26600 , 30100 , 29300 , 30100 , 32800 , 30500 , 31100 , 31400 , 33500 , 39500 , 62500 , 36300 , 42200 , 41800 , 40900 , 39500 , 41700 , 47700 , 44000 , 45700 , 44300 , 45500 , 62000 , 51500 , 48100 , 48200 , 54800 , 52500 , 63900 , 56200 , 53000 , 56700 , 58800 , 57800 , 59100 , 60100 , 61900 , 63800 , 63400 , 65500 , 66900 , 67900 , 71500 , 67700 , 86300 , 75000 , 86100 , 73700 , 74700 , 75100 , 75000 , 82700 , 82200 , 88700 , 96300
300 , 600 , 900 , 1400 , 2000 , 2100 , 3200 , 3500 , 4100 , 5000 , 4300 , 4800 , 6200 , 5700 , 7500 , 8400 , 7400 , 7800 , 8600 , 8900 , 9400 , 13200 , 10800 , 10900 , 12500 , 41300 , 12900 , 13600 , 14200 , 16600 , 15500 , 16000 , 16600 , 17300 , 18400 , 18700 , 20100 , 23500 , 22200 , 27900 , 22000 , 25300 , 25400 , 24900 , 31100 , 28600 , 30600 , 28800 , 29600 , 32600 , 30700 , 30800 , 31100 , 33600 , 40100 , 40900 , 35900 , 40800 , 41600 , 38900 , 39200 , 41400 , 47000 , 41500 , 49100 , 44600 , 45300 , 56600 , 48000 , 48000 , 48400 , 49700 , 54300 , 63400 , 55900 , 52800 , 56400 , 56600 , 57600 , 58900 , 59900 , 91500 , 63300 , 63400 , 67000 , 70700 , 67700 , 74000 , 76000 , 85800 , 71300 , 86600 , 74600 , 75400 , 74800 , 74800 , 79600 , 82500 , 83200 , 97300
300 , 600 , 1000 , 1300 , 1900 , 2100 , 3200 , 3600 , 4200 , 5000 , 4300 , 4700 , 6200 , 5700 , 20800 , 9100 , 8000 , 7900 , 8500 , 10100 , 9300 , 12900 , 10500 , 10800 , 13500 , 18600 , 12800 , 13500 , 14100 , 16400 , 15500 , 15900 , 16500 , 17200 , 18300 , 18800 , 22500 , 20500 , 20700 , 30700 , 22000 , 25200 , 25000 , 24700 , 26700 , 30500 , 26700 , 53000 , 29100 , 32400 , 30300 , 30500 , 31200 , 33500 , 36500 , 37000 , 35800 , 40600 , 41500 , 38700 , 39000 , 41700 , 46600 , 45900 , 42700 , 44300 , 44900 , 56000 , 49600 , 52200 , 50200 , 49500 , 52700 , 62900 , 55300 , 52600 , 61300 , 55900 , 62900 , 58600 , 65900 , 77900 , 63300 , 72700 , 63500 , 66400 , 67600 , 71400 , 68300 , 84400 , 96300 , 119200 , 83300 , 76300 , 74500 , 81400 , 79500 , 82800 , 90000 , 95100
300 , 500 , 900 , 1300 , 2000 , 2100 , 3700 , 13700 , 3800 , 5000 , 4400 , 4800 , 7000 , 5700 , 6800 , 8500 , 8600 , 7800 , 8500 , 10300 , 9300 , 12400 , 10500 , 10900 , 12000 , 14100 , 12700 , 13500 , 14100 , 15400 , 15500 , 16000 , 16400 , 17200 , 18300 , 18800 , 20500 , 20100 , 48100 , 25900 , 24400 , 25800 , 25100 , 24600 , 26300 , 58300 , 26600 , 65200 , 29600 , 32400 , 30200 , 30600 , 31000 , 33300 , 35800 , 35600 , 35500 , 41100 , 41700 , 41500 , 38900 , 43200 , 47600 , 45300 , 43900 , 43900 , 44700 , 56400 , 47600 , 50300 , 50000 , 49300 , 50700 , 56400 , 92600 , 52500 , 65800 , 55500 , 57600 , 58700 , 72600 , 77300 , 63100 , 72000 , 63400 , 72000 , 67000 , 76000 , 68100 , 99400 , 70400 , 84900 , 83000 , 79200 , 74700 , 86300 , 85900 , 84200 , 94800 , 96500
300 , 600 , 900 , 1400 , 1900 , 2200 , 3300 , 3700 , 3400 , 4900 , 4200 , 4700 , 6400 , 5600 , 6200 , 8000 , 8800 , 7800 , 8600 , 10000 , 9200 , 13100 , 10600 , 10900 , 11600 , 12900 , 12700 , 13400 , 14100 , 14500 , 17400 , 16100 , 16500 , 19000 , 18200 , 18500 , 46900 , 20100 , 29500 , 25400 , 23900 , 26500 , 25000 , 24500 , 26700 , 30700 , 26500 , 40700 , 30300 , 32400 , 30000 , 30300 , 30900 , 34100 , 57400 , 34800 , 35100 , 41800 , 41700 , 38900 , 56600 , 48000 , 43300 , 42900 , 42900 , 43300 , 44700 , 56500 , 51500 , 47400 , 48300 , 49400 , 53300 , 55200 , 64000 , 52500 , 60200 , 55300 , 62800 , 58700 , 103700 , 68500 , 68200 , 72500 , 63200 , 70400 , 67300 , 77900 , 68400 , 83300 , 70700 , 84000 , 84800 , 73800 , 74600 , 80000 , 80800 , 81500 , 95800 , 93600
