Tamano 10 , Tamano 20 , Tamano 30 , Tamano 40 , Tamano 50 , Tamano 60 , Tamano 70 , Tamano 80 , Tamano 90 , Tamano 100 , Tamano 110 , Tamano 120 , Tamano 130 , Tamano 140 , Tamano 150 , Tamano 160 , Tamano 170 , Tamano 180 , Tamano 190 , Tamano 200 , Tamano 210 , Tamano 220 , Tamano 230 , Tamano 240 , Tamano 250 , Tamano 260 , Tamano 270 , Tamano 280 , Tamano 290 , Tamano 300 , Tamano 310 , Tamano 320 , Tamano 330 , Tamano 340 , Tamano 350 , Tamano 360 , Tamano 370 , Tamano 380 , Tamano 390 , Tamano 400 , Tamano 410 , Tamano 420 , Tamano 430 , Tamano 440 , Tamano 450 , Tamano 460 , Tamano 470 , Tamano 480 , Tamano 490 , Tamano 500 , Tamano 510 , Tamano 520 , Tamano 530 , Tamano 540 , Tamano 550 , Tamano 560 , Tamano 570 , Tamano 580 , Tamano 590 , Tamano 600 , Tamano 610 , Tamano 620 , Tamano 630 , Tamano 640 , Tamano 650 , Tamano 660 , Tamano 670 , Tamano 680 , Tamano 690 , Tamano 700 , Tamano 710 , Tamano 720 , Tamano 730 , Tamano 740 , Tamano 750 , Tamano 760 , Tamano 770 , Tamano 780 , Tamano 790 , Tamano 800 , Tamano 810 , Tamano 820 , Tamano 830 , Tamano 840 , Tamano 850 , Tamano 860 , Tamano 870 , Tamano 880 , Tamano 890 , Tamano 900 , Tamano 910 , Tamano 920 , Tamano 930 , Tamano 940 , Tamano 950 , Tamano 960 , Tamano 970 , Tamano 980 , Tamano 990 , Tamano 1000
700 , 1200 , 1800 , 2400 , 2900 , 3200 , 4700 , 5900 , 5600 , 6600 , 6800 , 7700 , 7300 , 10400 , 11700 , 12000 , 11300 , 12300 , 12300 , 13500 , 15300 , 16300 , 17500 , 18600 , 17600 , 18700 , 19400 , 21400 , 40600 , 21100 , 20600 , 34800 , 27000 , 26300 , 41000 , 29800 , 26600 , 31200 , 28200 , 33800 , 29500 , 36700 , 37300 , 32000 , 41800 , 34400 , 37000 , 39700 , 65700 , 37200 , 44400 , 81300 , 39600 , 43400 , 48300 , 53300 , 52800 , 50600 , 47100 , 53200 , 65400 , 116600 , 56300 , 60200 , 53500 , 61500 , 51500 , 56700 , 63300 , 64500 , 69200 , 62600 , 61300 , 72900 , 62300 , 76600 , 95600 , 68800 , 79200 , 79700 , 63400 , 66500 , 67900 , 111100 , 75400 , 73100 , 76600 , 77700 , 77200 , 88400 , 89400 , 78600 , 79400 , 79800 , 95200 , 109500 , 102400 , 88400 , 89600 , 86600
600 , 900 , 1800 , 2300 , 2900 , 3400 , 5000 , 5500 , 5500 , 7400 , 7400 , 7900 , 8100 , 10700 , 11000 , 13300 , 14700 , 12400 , 13600 , 27300 , 17000 , 17600 , 17700 , 19300 , 17500 , 22900 , 19600 , 20800 , 55500 , 22800 , 24600 , 38300 , 27100 , 51100 , 29500 , 47200 , 32900 , 34700 , 29600 , 50600 , 33600 , 33500 , 40500 , 55700 , 40600 , 35600 , 36500 , 40800 , 42700 , 79000 , 44600 , 75700 , 49500 , 43800 , 57800 , 44800 , 52500 , 50900 , 54100 , 52800 , 50100 , 62600 , 56800 , 60900 , 52900 , 62900 , 52800 , 57200 , 53300 , 71500 , 63500 , 62000 , 63500 , 69800 , 67600 , 80200 , 66400 , 83100 , 78100 , 90100 , 69100 , 66700 , 66900 , 96500 , 77200 , 77100 , 72800 , 73500 , 77800 , 86900 , 82100 , 82300 , 77400 , 79200 , 112100 , 97700 , 91000 , 89100 , 107900 , 82900
400 , 700 , 1200 , 1600 , 2300 , 2400 , 3900 , 3900 , 3900 , 5700 , 5900 , 5900 , 6200 , 8200 , 8800 , 10600 , 12300 , 9600 , 10400 , 13300 , 14900 , 14200 , 14400 , 55100 , 13900 , 19600 , 15600 , 16900 , 47900 , 18800 , 21000 , 22500 , 22500 , 35100 , 25900 , 26700 , 25200 , 31100 , 25500 , 28800 , 29000 , 29200 , 35300 , 36400 , 36700 , 30800 , 35800 , 41100 , 38400 , 101300 , 39300 , 53000 , 48700 , 38200 , 52300 , 41300 , 48000 , 40100 , 68200 , 44200 , 107400 , 58000 , 53300 , 70000 , 49000 , 62800 , 48200 , 52600 , 51100 , 64900 , 57800 , 57700 , 58500 , 64900 , 60300 , 78100 , 137800 , 65800 , 64100 , 86600 , 64500 , 65900 , 63900 , 91900 , 68800 , 76700 , 78100 , 70000 , 73200 , 94600 , 77200 , 78200 , 73300 , 75800 , 88600 , 97500 , 95500 , 84700 , 98600 , 80200
400 , 600 , 1100 , 1400 , 2000 , 2100 , 3600 , 2900 , 4400 , 5200 , 5400 , 5300 , 5100 , 6300 , 8600 , 9900 , 11000 , 8900 , 12300 , 12600 , 29200 , 16400 , 14300 , 17000 , 12600 , 36300 , 17300 , 15600 , 32800 , 17700 , 17100 , 20900 , 21100 , 47400 , 25700 , 23300 , 23100 , 30400 , 23600 , 47600 , 27500 , 45900 , 35600 , 33500 , 35600 , 28800 , 36100 , 34400 , 43900 , 111600 , 37000 , 41500 , 60100 , 39700 , 69600 , 42200 , 38500 , 37700 , 60600 , 49500 , 46800 , 55700 , 47800 , 49800 , 51000 , 62200 , 45900 , 49400 , 46400 , 63000 , 57200 , 56000 , 63900 , 59600 , 64600 , 79400 , 60100 , 60600 , 63800 , 84800 , 62700 , 68200 , 61400 , 86200 , 71400 , 68800 , 66700 , 71900 , 69000 , 73500 , 83100 , 72200 , 71500 , 74000 , 81800 , 95800 , 101800 , 82300 , 86300 , 78300
400 , 600 , 1100 , 1400 , 1900 , 2100 , 3700 , 2800 , 4300 , 5300 , 5300 , 6800 , 6900 , 5900 , 6500 , 9700 , 11000 , 8600 , 10300 , 33000 , 17600 , 15400 , 16100 , 15800 , 12100 , 16800 , 18400 , 16200 , 17300 , 16900 , 17900 , 20500 , 20500 , 30000 , 24200 , 24000 , 22500 , 29000 , 23000 , 27500 , 30100 , 35100 , 34000 , 32600 , 34000 , 28000 , 32700 , 30800 , 39500 , 66000 , 36100 , 40000 , 50900 , 40100 , 47600 , 41400 , 37200 , 36600 , 53700 , 49000 , 43800 , 54300 , 46000 , 49900 , 55800 , 57900 , 45000 , 48100 , 53000 , 63400 , 52000 , 54700 , 67900 , 62400 , 57700 , 75100 , 55100 , 62300 , 64000 , 83600 , 61500 , 77600 , 60300 , 87100 , 78100 , 69700 , 65400 , 75000 , 67700 , 81800 , 74300 , 70800 , 70600 , 72300 , 79200 , 82400 , 105600 , 84600 , 81500 , 77400
400 , 500 , 1100 , 1400 , 2000 , 2100 , 3600 , 2700 , 4100 , 5400 , 5300 , 6800 , 7300 , 5800 , 6400 , 9000 , 10800 , 8400 , 12200 , 14400 , 16600 , 15100 , 16500 , 15600 , 11900 , 14200 , 15900 , 17800 , 16100 , 16800 , 20800 , 20800 , 20100 , 29500 , 18800 , 21100 , 22000 , 28000 , 22600 , 28200 , 32400 , 46300 , 29100 , 32500 , 33800 , 27500 , 28100 , 30100 , 31500 , 54800 , 35600 , 40800 , 75600 , 68700 , 41800 , 40700 , 36500 , 36000 , 44600 , 47600 , 46500 , 53300 , 44400 , 51100 , 67300 , 58000 , 45000 , 47200 , 56900 , 57400 , 51000 , 56500 , 67700 , 60400 , 58500 , 73300 , 51900 , 68100 , 59000 , 83100 , 60600 , 81200 , 59600 , 82500 , 68000 , 65900 , 64500 , 72100 , 67100 , 84300 , 76600 , 69900 , 75000 , 71700 , 77600 , 73300 , 107500 , 84800 , 81900 , 76800
400 , 600 , 1100 , 1300 , 1900 , 2200 , 3400 , 2700 , 4300 , 4700 , 5300 , 6600 , 5900 , 21500 , 6400 , 8600 , 11400 , 8300 , 10200 , 11900 , 15700 , 14600 , 16000 , 15500 , 11800 , 14100 , 15200 , 15000 , 15800 , 16600 , 17100 , 30800 , 20800 , 30900 , 18500 , 20900 , 21500 , 28300 , 22300 , 24400 , 27400 , 27200 , 26200 , 28600 , 34600 , 27100 , 27500 , 30100 , 33100 , 43100 , 35400 , 34800 , 87900 , 41900 , 40800 , 37100 , 36200 , 35300 , 43700 , 48000 , 43700 , 52800 , 41600 , 44700 , 67900 , 56300 , 53600 , 46800 , 56000 , 55200 , 52900 , 53100 , 68200 , 60800 , 59700 , 73600 , 54900 , 62100 , 62300 , 82900 , 60200 , 68500 , 59000 , 85300 , 64600 , 69000 , 64100 , 69400 , 66700 , 67300 , 76200 , 69600 , 74000 , 71400 , 77100 , 71600 , 109000 , 88200 , 79200 , 76500
300 , 600 , 1100 , 1300 , 2000 , 2100 , 3800 , 2800 , 4300 , 4000 , 5200 , 6500 , 5900 , 9700 , 6400 , 8400 , 11300 , 8200 , 9200 , 9400 , 11900 , 14800 , 15800 , 18800 , 12000 , 13800 , 13900 , 17800 , 30000 , 16300 , 16200 , 20800 , 21300 , 30600 , 18200 , 20700 , 21300 , 27900 , 22300 , 24000 , 25800 , 26500 , 27000 , 34600 , 33600 , 26700 , 27400 , 29900 , 32800 , 53900 , 35000 , 34300 , 55800 , 42300 , 40200 , 37400 , 35700 , 35100 , 43200 , 42000 , 46100 , 52400 , 56800 , 45100 , 62600 , 56300 , 52000 , 46500 , 59100 , 53100 , 50400 , 52900 , 67500 , 60200 , 56600 , 74400 , 51200 , 58500 , 58300 , 82900 , 59800 , 61200 , 58800 , 80900 , 64300 , 72200 , 63800 , 68600 , 66600 , 66300 , 70400 , 69400 , 82100 , 71300 , 76600 , 71300 , 95700 , 82000 , 77200 , 85200
500 , 600 , 1100 , 1300 , 1900 , 2100 , 3500 , 2700 , 4300 , 4000 , 5200 , 6500 , 6400 , 7600 , 6300 , 8400 , 12000 , 8200 , 9200 , 9100 , 10100 , 14800 , 15300 , 26400 , 13700 , 13800 , 13600 , 18000 , 15700 , 16200 , 16200 , 20100 , 19700 , 27700 , 18100 , 20400 , 21200 , 28500 , 22100 , 23600 , 32400 , 26400 , 30200 , 29100 , 32100 , 26700 , 27200 , 29900 , 30800 , 38300 , 34800 , 34300 , 49300 , 42300 , 43200 , 39100 , 35600 , 35000 , 44400 , 44100 , 42400 , 52400 , 42300 , 46400 , 47800 , 57000 , 52200 , 46500 , 58400 , 51900 , 50300 , 58500 , 64700 , 59600 , 56600 , 73900 , 53200 , 190500 , 64400 , 82800 , 59800 , 60200 , 58800 , 80800 , 68500 , 73200 , 63500 , 71100 , 66400 , 69300 , 70300 , 69300 , 74800 , 89100 , 76400 , 70900 , 88000 , 79400 , 82300 , 89000
400 , 600 , 1100 , 1300 , 1900 , 2100 , 3500 , 2700 , 4200 , 4000 , 5200 , 6300 , 6200 , 8000 , 6400 , 8300 , 11400 , 8200 , 9300 , 9100 , 10000 , 15000 , 15400 , 16000 , 12900 , 16700 , 13600 , 14900 , 15500 , 16200 , 16100 , 20500 , 20300 , 27400 , 18100 , 20200 , 21100 , 28600 , 22100 , 23400 , 35100 , 41500 , 29800 , 27800 , 26500 , 27700 , 27100 , 29800 , 30600 , 58200 , 34800 , 34200 , 53400 , 40700 , 46600 , 36900 , 35400 , 35000 , 48700 , 38700 , 45200 , 52200 , 45400 , 44800 , 46300 , 55800 , 74200 , 50100 , 58200 , 49000 , 50900 , 63100 , 54300 , 52700 , 56500 , 65700 , 55200 , 61300 , 61400 , 82800 , 59700 , 62500 , 58600 , 81200 , 68100 , 71300 , 63500 , 68200 , 66500 , 65900 , 70100 , 69200 , 71900 , 83500 , 76300 , 70700 , 90600 , 79000 , 77700 , 90200
