Tamano 10 , Tamano 20 , Tamano 30 , Tamano 40 , Tamano 50 , Tamano 60 , Tamano 70 , Tamano 80 , Tamano 90 , Tamano 100 , Tamano 110 , Tamano 120 , Tamano 130 , Tamano 140 , Tamano 150 , Tamano 160 , Tamano 170 , Tamano 180 , Tamano 190 , Tamano 200 , Tamano 210 , Tamano 220 , Tamano 230 , Tamano 240 , Tamano 250 , Tamano 260 , Tamano 270 , Tamano 280 , Tamano 290 , Tamano 300 , Tamano 310 , Tamano 320 , Tamano 330 , Tamano 340 , Tamano 350 , Tamano 360 , Tamano 370 , Tamano 380 , Tamano 390 , Tamano 400 , Tamano 410 , Tamano 420 , Tamano 430 , Tamano 440 , Tamano 450 , Tamano 460 , Tamano 470 , Tamano 480 , Tamano 490 , Tamano 500 , Tamano 510 , Tamano 520 , Tamano 530 , Tamano 540 , Tamano 550 , Tamano 560 , Tamano 570 , Tamano 580 , Tamano 590 , Tamano 600 , Tamano 610 , Tamano 620 , Tamano 630 , Tamano 640 , Tamano 650 , Tamano 660 , Tamano 670 , Tamano 680 , Tamano 690 , Tamano 700 , Tamano 710 , Tamano 720 , Tamano 730 , Tamano 740 , Tamano 750 , Tamano 760 , Tamano 770 , Tamano 780 , Tamano 790 , Tamano 800 , Tamano 810 , Tamano 820 , Tamano 830 , Tamano 840 , Tamano 850 , Tamano 860 , Tamano 870 , Tamano 880 , Tamano 890 , Tamano 900 , Tamano 910 , Tamano 920 , Tamano 930 , Tamano 940 , Tamano 950 , Tamano 960 , Tamano 970 , Tamano 980 , Tamano 990 , Tamano 1000
900 , 1700 , 2500 , 3200 , 4900 , 5300 , 6800 , 8200 , 8500 , 9400 , 10400 , 12400 , 13200 , 13800 , 15100 , 16300 , 17400 , 21500 , 22400 , 21500 , 23100 , 23700 , 28400 , 28800 , 27700 , 29200 , 30000 , 35900 , 32800 , 39600 , 40100 , 36700 , 37400 , 40800 , 40600 , 42400 , 80000 , 45300 , 47300 , 63200 , 67700 , 53900 , 56300 , 59100 , 58900 , 55800 , 60600 , 58400 , 67300 , 61900 , 72900 , 68300 , 67300 , 108400 , 77800 , 91000 , 71800 , 73700 , 73100 , 81300 , 84900 , 78500 , 80400 , 82100 , 87300 , 84600 , 101900 , 101100 , 108300 , 151600 , 104200 , 105200 , 123800 , 98800 , 114000 , 138700 , 118200 , 103800 , 105500 , 145600 , 108700 , 154700 , 113300 , 122200 , 128100 , 152200 , 138700 , 122000 , 124400 , 131300 , 142500 , 134500 , 140600 , 132100 , 128700 , 138000 , 132900 , 153200 , 165100 , 154000
400 , 900 , 1500 , 2300 , 4300 , 3700 , 5200 , 6600 , 6200 , 6800 , 7900 , 11400 , 10000 , 11200 , 12100 , 15600 , 14600 , 18800 , 18600 , 18000 , 20500 , 19600 , 23900 , 22900 , 23500 , 25100 , 25500 , 31600 , 28100 , 33900 , 33900 , 33100 , 33700 , 37500 , 35600 , 37300 , 64800 , 40100 , 44500 , 58100 , 45800 , 51100 , 47300 , 52000 , 49900 , 50900 , 53100 , 57300 , 55100 , 56800 , 79300 , 59500 , 61700 , 74000 , 68400 , 83000 , 66800 , 68100 , 70400 , 72400 , 76600 , 74300 , 88400 , 113500 , 85400 , 80000 , 88900 , 89200 , 97700 , 100900 , 88900 , 103900 , 94300 , 100300 , 105200 , 120700 , 106400 , 98400 , 99800 , 108300 , 104900 , 130600 , 113600 , 109500 , 116700 , 116600 , 140900 , 121100 , 127900 , 139200 , 139200 , 206900 , 125100 , 140800 , 124200 , 135200 , 134600 , 157100 , 140900 , 140100
200 , 600 , 1200 , 2000 , 3500 , 3200 , 4800 , 5900 , 6700 , 6100 , 6900 , 9600 , 9100 , 10000 , 10900 , 14100 , 13000 , 17400 , 15200 , 33900 , 33100 , 177500 , 22300 , 23900 , 24700 , 26100 , 25700 , 29400 , 30900 , 28000 , 29000 , 30800 , 31500 , 33000 , 33300 , 34800 , 45300 , 37800 , 39200 , 54400 , 45600 , 43300 , 44700 , 56600 , 53000 , 48200 , 56100 , 56600 , 52400 , 54300 , 61400 , 56800 , 58900 , 92400 , 62000 , 93000 , 63900 , 65900 , 67200 , 70400 , 74900 , 76000 , 79100 , 96200 , 81400 , 77000 , 79900 , 85300 , 97400 , 91200 , 86000 , 93600 , 89100 , 103600 , 100400 , 135600 , 99800 , 95700 , 97200 , 100900 , 102300 , 129900 , 106300 , 105500 , 111000 , 113000 , 140200 , 114900 , 114200 , 144700 , 138600 , 128600 , 124600 , 120400 , 121700 , 136200 , 132100 , 183500 , 144100 , 132000
300 , 600 , 1200 , 1800 , 3500 , 3200 , 5100 , 5900 , 26200 , 5900 , 6700 , 7900 , 8700 , 9600 , 10600 , 14400 , 12500 , 16900 , 14500 , 24000 , 24400 , 21600 , 23200 , 21300 , 24200 , 24000 , 27100 , 30600 , 25300 , 26900 , 28000 , 29600 , 30400 , 35300 , 32500 , 33800 , 44400 , 36600 , 41300 , 47500 , 40900 , 42200 , 43400 , 48300 , 47800 , 47200 , 49300 , 52600 , 51000 , 53200 , 58000 , 55500 , 57300 , 82700 , 60500 , 75200 , 62400 , 65400 , 65100 , 69900 , 68800 , 72300 , 72400 , 80800 , 77600 , 75700 , 80600 , 88900 , 95700 , 90700 , 84200 , 106500 , 96900 , 98100 , 102200 , 127600 , 99800 , 104300 , 95300 , 99800 , 100800 , 129600 , 103400 , 119400 , 104700 , 110800 , 139500 , 124700 , 115200 , 173800 , 120600 , 124700 , 125600 , 125400 , 120700 , 132700 , 138700 , 158000 , 132200 , 132500
200 , 700 , 1100 , 1800 , 3300 , 3100 , 4600 , 5800 , 6800 , 5800 , 6600 , 7500 , 8600 , 9400 , 27900 , 14900 , 12200 , 16700 , 16000 , 20300 , 20700 , 21200 , 44100 , 23000 , 20800 , 21700 , 23600 , 32500 , 24600 , 26300 , 30200 , 28800 , 29500 , 52300 , 31800 , 36700 , 53200 , 35700 , 40100 , 47800 , 43700 , 41600 , 42700 , 44800 , 48500 , 46600 , 48500 , 50200 , 50200 , 52300 , 55700 , 55400 , 56500 , 82700 , 194000 , 72400 , 61700 , 86800 , 64600 , 65800 , 84000 , 76800 , 73600 , 75100 , 81000 , 74400 , 78100 , 83300 , 99900 , 82800 , 83500 , 109500 , 86500 , 89900 , 90500 , 124300 , 100800 , 101400 , 94600 , 104200 , 103400 , 127300 , 107200 , 108700 , 104200 , 107800 , 140000 , 111500 , 119300 , 132300 , 117400 , 124900 , 117200 , 124800 , 120400 , 123500 , 134100 , 134900 , 132200 , 128200
300 , 600 , 1200 , 1800 , 3200 , 3100 , 4400 , 5800 , 6200 , 5700 , 7900 , 7400 , 9300 , 9300 , 16400 , 14000 , 12000 , 16400 , 28600 , 21000 , 20000 , 22200 , 26700 , 20800 , 20400 , 21300 , 22000 , 29400 , 24200 , 26000 , 32200 , 28300 , 29100 , 36100 , 31400 , 33000 , 41700 , 35400 , 38700 , 45300 , 41700 , 40900 , 42400 , 44100 , 50200 , 46100 , 51300 , 50600 , 49800 , 51800 , 54300 , 66600 , 56000 , 71700 , 59900 , 73200 , 61200 , 72900 , 63900 , 65400 , 86300 , 70200 , 71100 , 73400 , 76600 , 75900 , 77600 , 81100 , 80700 , 84400 , 83000 , 90700 , 85800 , 90100 , 92900 , 124000 , 98700 , 100100 , 122700 , 100800 , 123400 , 128800 , 120800 , 101800 , 110600 , 109200 , 139100 , 112900 , 111100 , 115100 , 114300 , 119700 , 117000 , 128000 , 120200 , 133700 , 130400 , 132000 , 130300 , 127800
300 , 600 , 1100 , 1800 , 2900 , 3100 , 4500 , 5800 , 5300 , 5700 , 8400 , 7300 , 10600 , 9200 , 14500 , 12800 , 12000 , 16300 , 22100 , 17200 , 19600 , 20300 , 23200 , 18800 , 20300 , 21200 , 21800 , 28400 , 26600 , 25900 , 29100 , 27800 , 28800 , 39600 , 31400 , 32800 , 39200 , 35200 , 36600 , 50800 , 39300 , 40600 , 42200 , 43800 , 48600 , 50600 , 48000 , 50200 , 49700 , 51800 , 53300 , 64800 , 55900 , 58800 , 61300 , 61700 , 61200 , 63100 , 63700 , 65200 , 88200 , 76300 , 70900 , 78200 , 81200 , 75000 , 80400 , 78100 , 86000 , 85300 , 87300 , 91500 , 85900 , 106000 , 93100 , 121300 , 127600 , 102100 , 94700 , 97400 , 126600 , 117700 , 107900 , 106500 , 116900 , 106700 , 137600 , 112200 , 113800 , 113900 , 113300 , 122400 , 130400 , 126000 , 145300 , 132300 , 140400 , 125900 , 126600 , 127300
300 , 600 , 1100 , 1800 , 3100 , 3100 , 4400 , 5700 , 25000 , 5600 , 8600 , 7300 , 9400 , 9300 , 31000 , 23000 , 11900 , 16400 , 19900 , 15600 , 19200 , 20400 , 22500 , 48000 , 20100 , 23000 , 23900 , 27800 , 46100 , 25700 , 26800 , 27700 , 28800 , 34800 , 31300 , 38900 , 37100 , 35100 , 39400 , 46700 , 39300 , 45800 , 42000 , 43900 , 44600 , 45500 , 47900 , 51400 , 49600 , 51600 , 52900 , 54800 , 55900 , 57300 , 62800 , 61100 , 63600 , 63500 , 64000 , 91900 , 91000 , 72100 , 70500 , 76400 , 73600 , 73900 , 82000 , 78100 , 91300 , 83300 , 83300 , 122600 , 85700 , 116000 , 88800 , 121800 , 98500 , 102200 , 94800 , 101200 , 130200 , 108600 , 101300 , 107600 , 117500 , 107000 , 204200 , 120200 , 117000 , 114200 , 113100 , 241200 , 116800 , 126100 , 126600 , 129200 , 129600 , 131400 , 126100 , 127400
200 , 600 , 1200 , 1800 , 3000 , 3100 , 4400 , 5700 , 7200 , 5700 , 7800 , 7400 , 8400 , 9200 , 15600 , 19200 , 12000 , 16000 , 18300 , 15300 , 19000 , 19900 , 22100 , 20600 , 20100 , 22500 , 25300 , 27600 , 36700 , 25800 , 26700 , 27800 , 28700 , 37200 , 31300 , 41000 , 34800 , 40900 , 36300 , 45100 , 42300 , 41600 , 42100 , 43800 , 44300 , 45500 , 53600 , 48500 , 49500 , 51700 , 61500 , 54800 , 55900 , 57000 , 64000 , 60600 , 60700 , 63100 , 63800 , 64900 , 85400 , 73000 , 70500 , 83700 , 85900 , 82700 , 84800 , 88100 , 81700 , 84200 , 82300 , 107500 , 88100 , 114900 , 91700 , 135200 , 101400 , 96500 , 94200 , 112500 , 102600 , 108700 , 105000 , 112700 , 116800 , 113100 , 146800 , 134600 , 111100 , 113100 , 113000 , 127900 , 116400 , 122000 , 124800 , 135700 , 130800 , 127600 , 126500 , 145000
300 , 700 , 1100 , 1800 , 3100 , 3000 , 4400 , 5800 , 5600 , 5700 , 8300 , 7300 , 8500 , 10600 , 13500 , 16600 , 11900 , 15900 , 18600 , 18500 , 19000 , 51300 , 21800 , 18800 , 20100 , 21000 , 25100 , 23300 , 24000 , 25800 , 29900 , 27600 , 28700 , 33000 , 31100 , 34400 , 36800 , 41100 , 36200 , 45800 , 39000 , 43200 , 41700 , 43900 , 44200 , 45400 , 47500 , 51000 , 49400 , 52000 , 52700 , 54600 , 55800 , 56700 , 70800 , 60600 , 60600 , 63000 , 63700 , 64900 , 68800 , 75100 , 70500 , 71800 , 75500 , 86600 , 76700 , 80700 , 79300 , 85800 , 82500 , 110100 , 90100 , 109500 , 101000 , 104100 , 98200 , 99500 , 94500 , 100000 , 106700 , 108400 , 117600 , 101000 , 116800 , 109600 , 131200 , 112900 , 111200 , 112200 , 113000 , 257700 , 116400 , 127800 , 158300 , 122400 , 135600 , 124500 , 126400 , 135000
